orient,distractor,kappa,subject,resp,respRT,acc,traj
4,1,50,3,5,1.188469887,1,-5
43,0.15,50,3,33,0.682556868,-10,-146
50,0.15,50,3,54,0.588736057,4,-20
158,1,5000,3,161,1.494347095,3,66
123,1,5000,3,131,1.682806969,8,129
26,0,50,3,16,1.106106997,-10,-124
74,0.15,100,3,80,0.612005949,6,-20
137,1,100,3,137,0.835778952,0,14
18,0.15,50,3,32,1.023699999,14,-52
100,0.15,50,3,107,1.353508949,7,-50
57,1,5000,3,55,0.988766193,-2,-46
116,0,5000,3,126.5,2.412320137,10.5,76.5
71,0,50,3,67,0.941814184,-4,-52
154,0,100,3,161,1.506076813,7,34
111,1,100,3,109,0.647692919,-2,26
118,0,100,3,100,2.541719913,-18,93
103,0,100,3,102,1.153167963,-1,98
143,1,100,3,155,0.741394997,12,138
22,1,100,3,18,2.059025049,-4,-154
32,0.15,50,3,30,1.047305107,-2,-68
39,1,100,3,39,0.883087158,0,-138
170,1,100,3,157,2.541395187,-13,144
96,0,100,3,124,1.800214052,28,16
138,0.15,100,3,128,0.859050035,-10,50
150,1,100,3,149,0.953161955,-1,44
13,0,50,3,31,1.317867041,18,-58
30,0,5000,3,45,1.082571983,15,-4
61,0,100,3,69,1.482686043,8,13
80,0,50,3,79,1.800209999,-1,68
141,1,5000,3,139,1.341377974,-2,46
173,0.15,50,3,6,2.353186131,13,-154
59,0.15,100,3,48,1.141492844,-11,-48
145,0.15,5000,3,140.5,1.623950005,-4.5,-10.5
103,1,5000,3,108,0.718288898,5,16
78,0,100,3,78,1.094354153,0,7
173,0.15,50,3,171,1.388859034,-2,104
11,0.15,5000,3,6.5,1.341387033,-4.5,-3.5
9,0.15,5000,3,19,0.694340944,10,-160
19,0.15,5000,3,32.5,1.670799971,13.5,-41.5
162,1,5000,3,159,1.435523987,-3,64
115,0.15,5000,3,131.5,1.988723993,16.5,129.5
8,1,50,3,16,1.211920023,8,-124
164,0.15,5000,3,162,0.929646015,-2,62
111,0,5000,3,116.5,1.106086016,5.5,-6.5
126,0.15,5000,3,116,0.729611874,-10,32
49,0,50,3,63,1.447309971,14,-94
5,0.15,100,3,17,1.270942926,12,-84
65,1,100,3,34,0.71820116,-31,-16
134,0.15,50,3,135,0.694615126,1,16
169,1,50,3,169,0.988520861,0,42
179,0.15,5000,3,179,1.318129063,0,96
129,0.15,100,3,143,0.753167868,14,136
123,0,5000,3,136,1.929639101,13,132
136,1,5000,3,139,1.306168079,3,122
123,0.15,5000,3,132.5,1.941398859,9.5,-39.5
33,0,5000,3,40,1.106462002,7,-58
82,1,100,3,81,1.31823802,-1,-96
176,0,5000,3,165,0.600725889,-11,152
